preprocess,feature_select,model,best_params,cv_best_f1_weighted,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted
P2_stopwords_uni+bi,FS_none,LinearSVC,{'clf__C': 1.0},0.8977351299567842,0.9068,0.9068708931844285,0.9068,0.9067959400311476
P2_stopwords_uni+bi,FS_chi2_k10k,LinearSVC,{'clf__C': 1.0},0.8926909981884645,0.9055,0.9055817815104238,0.9055,0.9054952360148476
P3_stopwords_uni+bi_strict,FS_chi2_k10k,LinearSVC,{'clf__C': 1.0},0.8923424872033994,0.905,0.9050663660734175,0.905,0.90499610864061
P3_stopwords_uni+bi_strict,FS_none,LinearSVC,{'clf__C': 1.0},0.8928124536918717,0.9049,0.9049198410722125,0.9049,0.9048988350107289
P1_basic_unigram,FS_none,LinearSVC,{'clf__C': 1.0},0.891868301216921,0.9026,0.9026505084797838,0.9026,0.902596945440209
P1_basic_unigram,FS_chi2_k10k,LinearSVC,{'clf__C': 1.0},0.8922952535544514,0.9016,0.901646848088361,0.9016,0.9015971305723275
P3_stopwords_uni+bi_strict,FS_none,SGDClassifier,"{'clf__alpha': 0.0001, 'clf__loss': 'hinge'}",0.8923023919980759,0.8986,0.8990613148800014,0.8986,0.8985706869285223
P1_basic_unigram,FS_none,SGDClassifier,"{'clf__alpha': 0.0001, 'clf__loss': 'hinge'}",0.8919149085284586,0.8976,0.8979209471191083,0.8976,0.8975793478997104
P2_stopwords_uni+bi,FS_none,SGDClassifier,"{'clf__alpha': 0.0001, 'clf__loss': 'hinge'}",0.8927851166687469,0.8957,0.896278265095558,0.8957,0.8956619364310292
P1_basic_unigram,FS_chi2_k10k,SGDClassifier,"{'clf__alpha': 0.0001, 'clf__loss': 'hinge'}",0.8882203486689548,0.8923,0.8925223403544703,0.8923,0.8922847464429439
P3_stopwords_uni+bi_strict,FS_chi2_k10k,SGDClassifier,"{'clf__alpha': 0.0001, 'clf__loss': 'hinge'}",0.8847409706238735,0.8881,0.8886671586646098,0.8881,0.8880591628632043
P2_stopwords_uni+bi,FS_none,MultinomialNB,{'clf__alpha': 0.5},0.8763469306129233,0.8858,0.8858022222208,0.8858,0.8857998355517631
P2_stopwords_uni+bi,FS_chi2_k10k,SGDClassifier,"{'clf__alpha': 0.0001, 'clf__loss': 'hinge'}",0.8814740341441082,0.8829,0.8836631674261174,0.8829,0.8828417383680731
P3_stopwords_uni+bi_strict,FS_chi2_k10k,MultinomialNB,{'clf__alpha': 0.5},0.8724101592779439,0.8812,0.8813649937508963,0.8812,0.8811871492020577
P2_stopwords_uni+bi,FS_chi2_k10k,MultinomialNB,{'clf__alpha': 0.5},0.8727125340594981,0.8809,0.8810617073461293,0.8809,0.8808873633403768
P3_stopwords_uni+bi_strict,FS_none,MultinomialNB,{'clf__alpha': 0.5},0.8715383030874998,0.8794,0.8794349687267179,0.8794,0.8793972213119791
P1_basic_unigram,FS_chi2_k10k,MultinomialNB,{'clf__alpha': 0.5},0.8613496690768927,0.8662,0.8663646589323105,0.8662,0.8661849645426161
P1_basic_unigram,FS_none,MultinomialNB,{'clf__alpha': 0.5},0.859001516482993,0.8649,0.8652510062169746,0.8649,0.8648675344251456
